motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
5/5 reps and random,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
222,-0.519043,-0.6210938,-0.4589844,19.84024,28.04756,-111.1546,,,
223,-0.5512695,-0.6210938,-0.465332,15.32364,1.192093,-124.8875,,,
224,-0.5380859,-0.6542969,-0.4755859,10.07462,-14.86015,-136.7283,,,
225,-0.6552734,-0.7880859,-0.4941406,-2.254486,-37.87041,-156.6257,,,
226,-0.684082,-0.9194336,-0.4804688,-9.822845,-42.0208,-164.5603,,,
227,-0.7788086,-1.042969,-0.574707,-18.2457,-35.79521,-170.4807,,,
228,-0.612793,-1.101562,-0.4331055,-27.2789,-22.73369,-173.9597,,,
229,-0.6401367,-1.099609,-0.4477539,-35.33554,-17.66777,-176.157,,,
230,-0.6132812,-1.061523,-0.3637695,-41.6832,-16.81328,-176.5842,,,
231,-0.4697266,-1.053223,-0.3212891,-45.65048,-18.7664,-175.3635,,,
232,-0.2900391,-1.001465,-0.3193359,-48.94638,-35.67314,-172.3118,,,
233,-0.3212891,-1.019043,-0.4072266,-49.6788,-49.10088,-171.0911,,,
234,-0.02441406,-1.097168,-0.4008789,-54.68369,-58.92754,-172.1287,,,
235,0.06982422,-1.109375,-0.3452148,-55.59921,-57.27959,-173.7156,,,
236,0.1367188,-1.148926,-0.4277344,-55.53818,-54.71611,-175.9739,,,
237,0.1186523,-1.172852,-0.5908203,-55.0499,-51.78642,-178.0491,,,
238,0.284668,-1.096191,-0.7290039,-56.4537,-51.60332,-183.9085,,,
239,0.2773438,-1.121582,-0.7587891,-57.18613,-42.2039,-185.0071,,,
240,0.2890625,-1.077637,-0.7329102,-56.20956,-25.41924,-184.885,,,
241,0.300293,-0.9863281,-0.7358398,-52.7916,-7.71904,-183.4812,,,
242,0.3095703,-0.9536133,-0.7641602,-47.29843,5.586624,-180.9788,,,
243,0.2983398,-0.9228516,-0.730957,-41.01181,12.11739,-177.5608,,,
244,0.2939453,-0.8754883,-0.6923828,-33.99277,15.7795,-173.3494,,,
245,0.2607422,-0.8378906,-0.6582031,-26.60751,20.78438,-168.1614,,,
246,0.2773438,-0.7832031,-0.6196289,-18.97812,27.55928,-161.7527,,,
247,0.2089844,-0.7182617,-0.6494141,-11.53183,34.51729,-153.9402,,,
248,0.2509766,-0.6513672,-0.59375,-4.024506,39.70528,-144.907,,,
249,0.2495117,-0.5688477,-0.6210938,2.872467,40.6208,-135.2024,,,
250,0.2197266,-0.5083008,-0.6577148,8.426666,37.56905,-125.1926,,,
251,0.2084961,-0.4838867,-0.6313477,12.02774,33.41866,-114.6946,,,
252,0.1918945,-0.4282227,-0.6616211,13.8588,26.88789,-103.4031,,,
253,0.175293,-0.3813477,-0.715332,14.0419,20.11299,-91.4402,,,
254,0.1152344,-0.3071289,-0.7348633,12.57706,15.10811,-79.2942,,,
255,0.09619141,-0.2114258,-0.7719727,9.647369,15.90157,-66.29372,,,
256,0.046875,-0.1577148,-0.7583008,5.374908,30.24483,-51.58424,,,
257,0.02001953,-0.1455078,-0.7324219,0.1869202,40.6208,-35.10475,,,
258,-0.07617188,-0.2128906,-0.8183594,-11.04355,0.6427765,-1.23024,,,
259,-0.1914062,-0.2978516,-0.8876953,-16.1705,-25.96855,15.31029,,,
260,-0.3554688,-0.3378906,-0.9160156,-21.41953,-39.39629,32.58324,,,
261,-0.5600586,-0.371582,-0.9658203,-26.66855,-38.11455,51.99242,,,
262,-0.8535156,-0.3818359,-0.9956055,-32.10068,-20.78056,75.24681,,,
263,-1.322266,-0.3486328,-1.234863,-36.98349,15.41328,104.1775,,,
264,-2.137695,-0.3393555,-1.228516,-43.02597,68.88008,142.9348,,,
265,-2.941406,-0.5166016,-0.7587891,-52.18124,139.986,198.9651,,,
266,-3.689453,-1.177246,0.3481445,-63.53378,230.9284,277.8835,,,
267,-4.042969,-2.080566,1.635254,-77.26669,318.3918,382.3757,,,
268,-2.87207,-3.246094,3.424805,-90.20615,273.8361,503.8967,,,
269,-2.628906,-5.289551,2.073242,-68.84384,28.35274,623.3425,,,
270,-1.594238,-7.389648,-1.192383,-7.686615,-200.285,730.8254,,,
271,1.75,-6.746582,-1.602051,34.42764,-164.1521,799.429,,,
272,2.890137,-4.260254,-1.263672,27.22549,-14.0667,783.804,,,
273,0.8657227,-3.234375,-1.139648,15.75089,-92.86308,689.8098,,,
274,0.03759766,-1.898926,-0.6850586,20.93887,-110.8074,569.8147,,,
275,0.3847656,-1.465332,-0.987793,30.82657,-156.4617,439.5046,,,
276,0.3115234,-0.8789062,-0.8300781,41.93497,-158.5369,312.9788,,,
277,-0.08300781,-0.4311523,-0.6870117,44.86465,-46.47636,214.0408,,,
278,-0.6928711,-0.5571289,-0.5410156,45.71915,1.070023,147.5735,,,
279,-1.188965,-0.9360352,-0.3066406,45.2919,-3.995895,102.1023,,,
280,-1.263672,-1.117188,-0.1494141,44.55948,14.25362,69.69261,,,
281,-1.109375,-0.9887695,-0.1357422,41.93497,31.03828,45.76683,,,
282,-0.9580078,-0.7807617,-0.03076172,38.63907,41.35323,26.47972,,,
283,-0.8701172,-0.6479492,-0.0546875,35.83145,40.49873,8.962631,,,
284,-0.859375,-0.6411133,-0.215332,33.02383,22.7375,-7.699966,,,
285,-0.847168,-0.6201172,-0.3125,27.95792,4.487991,-22.89772,,,
286,-0.8237305,-0.5825195,-0.3886719,21.06094,-1.249313,-36.69167,,,
287,-0.8032227,-0.4985352,-0.4008789,13.37051,18.70918,-49.99733,,,
288,-0.9331055,-0.4428711,-0.4589844,6.656647,41.17012,-63.4861,,,
289,-0.8007812,-0.515625,-0.2226562,1.590729,43.06221,-76.8528,,,
290,-0.7807617,-0.53125,-0.112793,-1.644135,43.12325,-90.76881,,,
291,-0.7001953,-0.5087891,-0.1538086,-3.59726,35.49385,-105.2952,,,
292,-0.6254883,-0.5048828,-0.1796875,-5.062103,20.4792,-120.676,,,
293,-0.5117188,-0.5117188,-0.2036133,-6.649017,10.46944,-136.9724,,,
294,-0.4570312,-0.5898438,-0.1479492,-8.419037,-2.958298,-153.8181,,,
295,-0.4213867,-0.668457,-0.1220703,-10.4332,-25.78545,-171.03,,,
296,-0.402832,-0.78125,-0.184082,-13.11874,-48.18535,-187.5706,,,
297,-0.3623047,-0.8681641,-0.1933594,-17.2081,-60.14824,-202.7073,,,
298,-0.3642578,-1.003418,-0.253418,-22.09091,-61.24687,-216.3792,,,
299,-0.3789062,-1.131348,-0.2895508,-27.46201,-57.09648,-227.8538,,,
300,-0.2841797,-1.249512,-0.3305664,-32.8331,-52.94609,-236.5208,,,
301,-0.309082,-1.378418,-0.3417969,-37.41074,-49.10088,-243.2346,,,
302,-0.1674805,-1.466309,-0.2822266,-41.37802,-48.49052,-248.3006,,,
303,-0.09130859,-1.507812,-0.2358398,-43.63632,-54.71611,-252.4509,,,
304,-0.1269531,-1.551758,-0.2666016,-45.28427,-61.97929,-255.6858,,,
305,0.07080078,-1.683594,-0.2563477,-46.93222,-71.92802,-257.3948,,,
306,0.07958984,-1.712402,-0.2910156,-46.44394,-81.0833,-256.6013,,,
307,0.1206055,-1.65332,-0.3168945,-45.10117,-88.22441,-254.4041,,,
308,0.1357422,-1.370605,-0.4584961,-39.36386,-80.0457,-241.0984,,,
309,0.1269531,-1.331543,-0.4350586,-36.43417,-72.05009,-234.0794,,,
310,0.1655273,-1.237305,-0.4414062,-32.10068,-60.20927,-225.6565,,,
311,0.1689453,-1.129883,-0.4521484,-26.0582,-45.43877,-216.3792,,,
312,0.06201172,-1.046875,-0.5170898,-18.91708,-33.29277,-205.9422,,,
313,0.08105469,-0.9960938,-0.4897461,-11.47079,-24.56474,-194.2844,,,
314,0.002441406,-0.9160156,-0.5527344,-4.329681,-16.63017,-181.6502,,,
315,0.04296875,-0.8530273,-0.5810547,2.140045,-7.535934,-167.7952,,,
316,0.02734375,-0.7573242,-0.5546875,7.633209,0.2155304,-153.3909,,,
317,0.03564453,-0.6547852,-0.5776367,12.02774,8.455276,-138.8645,,,
318,0.02539062,-0.6015625,-0.5825195,15.2626,16.81709,-124.3992,,,
319,0.0004882812,-0.527832,-0.6176758,17.58194,24.8127,-109.9339,,,
320,0.01367188,-0.4560547,-0.6025391,18.92471,34.15108,-95.59059,,,
321,-0.04150391,-0.3911133,-0.6357422,19.41299,49.53194,-80.94215,,,
322,-0.004882812,-0.362793,-0.6079102,18.92471,68.69698,-65.56129,,,
323,-0.02685547,-0.3305664,-0.5913086,17.82608,83.10127,-49.50905,,,
324,-0.1118164,-0.2915039,-0.6113281,15.68985,85.29854,-32.90749,,,
325,-0.06982422,-0.2646484,-0.5878906,12.51602,77.79121,-15.87868,,,
326,-0.125,-0.2583008,-0.6201172,8.060455,66.19453,1.760483,,,
327,-0.2084961,-0.2607422,-0.6738281,2.262115,56.18477,20.55931,,,
