motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
benchpress_aaron_1,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
181,-0.25,0.875,0,17.578125,19.53125,-9.765625,,,
182,-0.265625,0.875,0.0625,17.578125,0,-15.625,,,
183,-0.25,0.84375,0.03125,9.765625,5.859375,-11.71875,,,
184,-0.21875,0.875,0,9.765625,1.953125,-7.8125,,,
185,-0.234375,0.828125,0.03125,9.765625,19.53125,-9.765625,,,
186,-0.265625,0.84375,-0.03125,11.71875,7.8125,-9.765625,,,
187,-0.296875,0.8125,0,13.671875,-3.90625,-1.953125,,,
188,-0.3125,0.78125,0.046875,13.671875,0,0,,,
189,-0.28125,0.84375,0.0625,5.859375,-7.8125,0,,,
190,-0.265625,0.875,0.0625,0,5.859375,1.953125,,,
191,-0.328125,1,0.03125,-3.90625,-1.953125,7.8125,,,
192,-0.3125,1.015625,0.03125,-3.90625,0,7.8125,,,
193,-0.359375,1.0625,0.0625,0,-9.765625,3.90625,,,
194,-0.375,1.09375,0.015625,-1.953125,-3.90625,0,,,
195,-0.421875,1.140625,-0.015625,-9.765625,0,0,,,
196,-0.4375,1.171875,-0.0625,0,7.8125,-11.71875,,,
197,-0.453125,1.125,-0.09375,3.90625,17.578125,-13.671875,,,
198,-0.40625,1.09375,-0.125,7.8125,21.484375,-13.671875,,,
199,-0.453125,1.03125,-0.078125,13.671875,13.671875,-9.765625,,,
200,-0.484375,1,-0.078125,7.8125,15.625,-5.859375,,,
201,-0.375,0.9375,-0.03125,-27.34375,5.859375,5.859375,,,
202,-0.375,0.9375,-0.03125,-27.34375,7.8125,7.8125,,,
203,-0.5,0.96875,-0.1875,-23.4375,-3.90625,11.71875,,,
204,-0.3125,0.890625,0.078125,-17.578125,-17.578125,9.765625,,,
205,-0.234375,0.84375,0.09375,-23.4375,-3.90625,19.53125,,,
206,-0.25,0.796875,0.109375,-21.484375,9.765625,23.4375,,,
207,-0.296875,0.875,0.015625,-13.671875,-3.90625,19.53125,,,
208,-0.359375,0.828125,0.140625,-11.71875,-41.015625,21.484375,,,
209,-0.171875,0.859375,0.09375,-19.53125,-7.8125,17.578125,,,
210,-0.1875,0.859375,0.171875,-19.53125,-5.859375,15.625,,,
211,-0.25,0.90625,0.078125,-25.390625,-1.953125,11.71875,,,
212,-0.140625,0.875,0.203125,-17.578125,-5.859375,23.4375,,,
213,-0.1875,0.828125,0.203125,-13.671875,-7.8125,19.53125,,,
214,-0.09375,0.890625,0.234375,-17.578125,-9.765625,21.484375,,,
215,-0.125,0.90625,0.21875,-19.53125,-15.625,17.578125,,,
216,-0.15625,0.890625,0.21875,-21.484375,-19.53125,17.578125,,,
217,-0.140625,0.875,0.203125,-25.390625,-17.578125,19.53125,,,
218,-0.078125,0.734375,0.234375,-19.53125,-23.4375,13.671875,,,
219,-0.078125,0.640625,0.203125,-13.671875,-7.8125,1.953125,,,
220,-0.09375,0.546875,0.265625,-3.90625,-9.765625,-3.90625,,,
221,-0.171875,0.625,0.203125,3.90625,3.90625,-15.625,,,
222,-0.140625,0.703125,0.34375,17.578125,1.953125,-11.71875,,,
223,-0.140625,0.703125,0.34375,19.53125,0,-11.71875,,,
224,-0.265625,0.859375,0.25,19.53125,1.953125,-15.625,,,
