motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-deadlift-70,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
126,-0.203125,-0.875,-0.078125,-1.953125,9.765625,0,0,0,0
127,-0.28125,-0.90625,-0.1875,0,0,0,0,0,0
128,-0.296875,-0.9375,-0.0625,0,-3.90625,0,0,0,0
129,-0.25,-0.78125,-0.15625,0,-9.765625,0,0,0,0
130,-0.265625,-0.890625,-0.078125,0,-17.578125,0,0,0,0
131,-0.203125,-0.921875,-0.015625,0,-7.8125,0,0,0,0
132,-0.28125,-1.015625,-0.03125,3.90625,-13.671875,0,0,0,0
133,-0.34375,-1.09375,-0.09375,3.90625,-1.953125,0,0,0,0
134,-0.390625,-1.046875,-0.234375,5.859375,-5.859375,0,0,0,0
135,-0.328125,-0.9375,-0.296875,7.8125,-1.953125,0,0,0,0
136,-0.421875,-1.109375,-0.34375,3.90625,-9.765625,3.90625,0,0,0
137,-0.328125,-1.078125,0,0,-5.859375,1.953125,0,0,0
138,-0.359375,-1.125,-0.046875,0,-3.90625,0,0,0,0
139,-0.40625,-1,-0.078125,3.90625,-15.625,0,0,0,0
140,-0.21875,-0.890625,-0.03125,9.765625,-27.34375,3.90625,0,0,0
141,-0.25,-0.71875,0.21875,3.90625,-11.71875,3.90625,0,0,0
142,-0.265625,-0.703125,0.015625,5.859375,-1.953125,0,0,0,0
143,-0.203125,-0.5,-0.03125,15.625,-9.765625,1.953125,0,0,0
144,-0.09375,-0.390625,0.171875,15.625,-1.953125,-1.953125,0,0,0
145,-0.0625,-0.375,0.203125,15.625,-9.765625,-1.953125,0,0,0
146,0.015625,-0.453125,0.140625,13.671875,0,-1.953125,0,0,0
147,-0.125,-0.59375,0.515625,13.671875,0,-3.90625,0,0,0
148,-0.140625,-0.8125,0.15625,11.71875,-9.765625,0,0,0,0
149,-0.328125,-0.828125,0.375,7.8125,-3.90625,0,0,0,0
150,-0.203125,-0.796875,0.34375,3.90625,-3.90625,0,0,0,0
151,-0.25,-0.828125,0.375,3.90625,-5.859375,0,0,0,0
152,-0.28125,-0.875,0.3125,1.953125,-1.953125,0,0,0,0
153,-0.25,-0.90625,0.265625,1.953125,-3.90625,0,0,0,0
154,-0.296875,-0.84375,0.296875,1.953125,-1.953125,-1.953125,0,0,0
155,-0.21875,-0.828125,0.34375,0,-1.953125,0,0,0,0
156,-0.234375,-0.859375,0.359375,0,-3.90625,0,0,0,0
157,-0.234375,-0.90625,0.390625,0,0,0,0,0,0
158,-0.21875,-0.890625,0.328125,0,-3.90625,0,0,0,0
159,-0.25,-0.84375,0.359375,0,-5.859375,0,0,0,0
160,-0.21875,-0.890625,0.359375,0,0,0,0,0,0
161,-0.203125,-0.890625,0.34375,0,-1.953125,0,0,0,0
162,-0.25,-0.875,0.359375,0,0,0,0,0,0
163,-0.203125,-0.875,0.359375,0,0,0,0,0,0
164,-0.203125,-0.859375,0.359375,0,0,0,0,0,0
165,-0.203125,-0.875,0.34375,0,0,0,0,0,0
166,-0.1875,-0.84375,0.375,0,0,0,0,0,0
167,-0.203125,-0.875,0.375,0,0,0,0,0,0
168,-0.234375,-0.84375,0.34375,-1.953125,0,0,0,0,0
169,-0.203125,-0.890625,0.328125,-1.953125,0,0,0,0,0
170,-0.21875,-0.859375,0.359375,-1.953125,0,0,0,0,0
171,-0.15625,-0.875,0.34375,0,-1.953125,0,0,0,0
172,-0.28125,-0.84375,0.34375,-3.90625,3.90625,0,0,0,0
173,-0.203125,-0.890625,0.265625,-1.953125,-5.859375,0,0,0,0
174,-0.21875,-0.875,0.40625,-1.953125,7.8125,-1.953125,0,0,0
175,-0.15625,-0.859375,0.234375,-1.953125,0,0,0,0,0
176,-0.15625,-0.90625,0.28125,-1.953125,0,0,0,0,0
177,-0.21875,-0.828125,0.265625,-3.90625,1.953125,0,0,0,0
178,-0.125,-0.78125,0.25,-1.953125,-1.953125,0,0,0,0
179,-0.171875,-0.78125,0.3125,-5.859375,0,3.90625,0,0,0
180,-0.203125,-0.765625,0.203125,-5.859375,7.8125,1.953125,0,0,0
181,-0.203125,-0.765625,0.21875,-1.953125,5.859375,0,0,0,0
182,-0.171875,-0.78125,0.234375,-1.953125,0,0,0,0,0
