motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
Upper Cut - Right 10 Reps,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
165,-0.01926,-1.54673,-0.0964,-194.73666,103.85615,40.26735,0,0,0
166,-0.04358,-0.65713,-0.15784,-69.41666,71.09615,3.26735,0,0,0
167,0.48922,1.21167,0.26008,134.10333,33.57615,-35.41264,0,0,0
168,0.3049,1.64399,-0.1284,41.22334,39.05615,4.02735,0,0,0
169,0.26458,1.13679,-0.23112,-38.81665,42.37615,21.46735,0,0,0
170,0.27098,0.18351,-0.45096,-102.77666,45.21615,37.34735,0,0,0
171,0.37914,0.29391,-0.34664,-38.85665,38.57615,31.26735,0,0,0
172,0.42362,0.65487,-0.05512,1.82334,30.57615,19.42735,0,0,0
173,0.36122,0.71151,-0.05064,-7.33665,27.69615,18.10735,0,0,0
174,0.26842,0.56143,-0.14504,-39.37665,20.25615,20.82735,0,0,0
175,0.27674,0.27791,-0.22088,-39.85665,12.21615,20.70735,0,0,0
176,0.29946,0.32847,-0.17608,-23.21665,9.61615,18.82735,0,0,0
177,0.23034,0.55599,-0.1732,12.70334,6.33615,13.66735,0,0,0
178,0.24058,0.59535,-0.20072,13.42334,-2.86384,16.86735,0,0,0
179,0.30266,0.43919,-0.2868,1.02334,-11.98384,19.78735,0,0,0
180,0.39994,0.35407,-0.27176,3.14334,-14.66384,19.14735,0,0,0
181,0.47386,0.46863,-0.20936,17.22334,-11.70384,16.46735,0,0,0
182,0.40762,0.52783,-0.21352,15.14334,-8.86384,15.02735,0,0,0
183,0.37882,0.51951,-0.23496,6.98334,-10.30384,15.34735,0,0,0
184,0.37434,0.45967,-0.27112,-1.37665,-13.26384,14.54735,0,0,0
185,0.4489,0.29007,-0.27784,-4.57665,-20.46384,10.34735,0,0,0
186,0.5561,0.33679,-0.20584,10.54334,-22.50384,5.62735,0,0,0
187,0.50842,0.39247,-0.2388,17.22334,-21.22384,4.06735,0,0,0
188,0.48826,0.43759,-0.24456,19.90334,-20.90384,1.74735,0,0,0
189,0.47834,0.43919,-0.25032,14.18334,-24.10384,-0.73264,0,0,0
190,0.51514,0.42031,-0.26888,8.58334,-26.74384,-0.49264,0,0,0
191,0.5609,0.38767,-0.30344,2.02334,-31.26384,-0.41264,0,0,0
192,0.61114,0.36015,-0.22376,3.82334,-31.98384,-1.49264,0,0,0
193,0.58586,0.38287,-0.2692,5.50334,-30.26384,-1.33264,0,0,0
194,0.55034,0.41295,-0.28456,5.90334,-29.42384,-1.37264,0,0,0
195,0.6329,0.36655,-0.23048,2.62334,-31.98384,-2.05264,0,0,0
196,0.61562,0.37807,-0.29928,0.46334,-33.14384,-1.29264,0,0,0
197,0.63898,0.35471,-0.26024,0.66334,-35.22384,-0.65264,0,0,0
198,0.65338,0.32431,-0.22408,2.10334,-36.78384,0.30735,0,0,0
199,0.64282,0.34991,-0.25896,8.34334,-36.42384,2.98735,0,0,0
200,0.6553,0.37199,-0.24168,10.30334,-35.42384,5.02735,0,0,0
201,0.65434,0.35375,-0.242,8.58334,-34.22384,5.86735,0,0,0
202,0.63226,0.37583,-0.24104,5.98334,-32.54384,6.82735,0,0,0
203,0.64218,0.32271,-0.242,-1.01665,-28.94384,7.70735,0,0,0
204,0.6345,0.30927,-0.26152,-3.69665,-26.58384,8.26735,0,0,0
205,0.60602,0.31151,-0.27848,-2.41665,-25.54384,7.86735,0,0,0
206,0.58874,0.27983,-0.2836,0.22334,-24.54384,7.18735,0,0,0
207,0.57914,0.32303,-0.25992,5.10334,-22.46384,7.90735,0,0,0
208,0.57498,0.33135,-0.24584,6.78334,-20.58384,7.90735,0,0,0
209,0.55034,0.34607,-0.27016,6.54334,-15.42384,7.78735,0,0,0
210,0.5449,0.32943,-0.28904,6.50334,-11.26384,6.82735,0,0,0
211,0.53114,0.33103,-0.30856,6.74334,-9.46384,5.90735,0,0,0
212,0.53626,0.32047,-0.27176,6.10334,-8.34384,5.30735,0,0,0
213,0.49978,0.32783,-0.3012,4.30334,-5.30384,5.18735,0,0,0
214,0.52122,0.35631,-0.29512,6.26334,-2.90384,5.38735,0,0,0
215,0.50362,0.36815,-0.33288,6.22334,-1.10384,5.78735,0,0,0
216,0.51546,0.35215,-0.29128,5.82334,0.49615,5.82735,0,0,0
217,0.49338,0.35151,-0.2772,5.22334,3.45615,6.38735,0,0,0
218,0.48602,0.36143,-0.26728,4.86334,4.41615,6.74735,0,0,0
219,0.49434,0.35375,-0.2692,1.82334,5.17615,6.90735,0,0,0
220,0.48506,0.33327,-0.2772,-0.53665,5.77615,6.06735,0,0,0
221,0.48218,0.33391,-0.2772,-0.65665,5.73615,5.46735,0,0,0
222,0.48026,0.34703,-0.28904,-0.69665,5.73615,5.02735,0,0,0
223,0.46874,0.35695,-0.3156,-1.85665,5.73615,4.38735,0,0,0
224,0.48602,0.35311,-0.30696,-2.85665,5.33615,3.74735,0,0,0
225,0.47066,0.34447,-0.32552,-2.45665,5.77615,2.98735,0,0,0
226,0.46618,0.33967,-0.30664,-1.17665,6.13615,2.02735,0,0,0
227,0.4473,0.34319,-0.29768,0.94334,6.85615,0.58735,0,0,0
228,0.44154,0.36079,-0.29864,0.90334,7.05615,-1.01264,0,0,0
229,0.44026,0.33775,-0.29736,-0.13665,6.93615,-1.97264,0,0,0
230,0.43258,0.32911,-0.28456,-1.05665,6.49615,-2.61264,0,0,0
231,0.4329,0.31151,-0.28392,-0.09665,6.01615,-4.57264,0,0,0
232,0.43066,0.32335,-0.28392,0.54334,5.89615,-5.33264,0,0,0
233,0.45018,0.30511,-0.29864,0.14334,6.41615,-6.49264,0,0,0
234,0.46074,0.28303,-0.30024,2.58334,7.77615,-8.57264,0,0,0
235,0.47578,0.29967,-0.27208,5.66334,8.61615,-10.01264,0,0,0
236,0.4633,0.31663,-0.30568,8.10334,9.93615,-11.61264,0,0,0
237,0.46202,0.31951,-0.27304,6.66334,11.41615,-13.41264,0,0,0
238,0.52474,0.26799,-0.22376,4.94334,13.41615,-16.01264,0,0,0
239,0.5657,0.22447,-0.26088,7.82334,15.13615,-18.49264,0,0,0
240,0.65242,0.19759,-0.23784,13.98334,15.97615,-21.45264,0,0,0
241,0.95034,0.14447,-0.17896,32.42334,19.85615,-27.97264,0,0,0
242,1.4265,0.22639,-0.0276,53.46334,34.13615,-36.25264,0,0,0
243,1.78266,0.30127,0.09912,60.26334,46.37615,-39.81264,0,0,0
244,2.26746,0.44111,0.3788,61.30334,63.41615,-40.45264,0,0,0
245,2.9801,0.46703,0.92664,26.90334,112.97615,-19.77264,0,0,0
246,3.02074,0.06287,0.9468,-13.89665,137.73615,1.94735,0,0,0
247,1.29274,-0.60497,0.3916,31.90334,50.33615,-28.17264,0,0,0
248,0.24154,0.30319,0.51416,-30.49665,-89.22385,-96.57265,0,0,0
249,-1.85286,0.75279,-0.23464,-177.25665,-224.98384,-171.93263,0,0,0
250,-4.34054,1.07791,-1.50248,-214.29666,-302.46384,-217.53264,0,0,0
251,-6.78598,2.00623,-3.5012,-177.89667,-362.94385,-278.57263,0,0,0
252,-2.20198,0.46063,0.21976,93.62334,-395.58383,-248.93263,0,0,0
253,-1.73446,-0.10001,0.01752,228.98334,-269.62384,-117.93265,0,0,0
254,-1.1863,2.35823,-0.53352,349.18335,72.61615,64.38735,0,0,0
255,-0.62054,2.79727,0.42488,92.46334,235.37616,58.38735,0,0,0
256,-0.9559,1.18895,-1.03304,-147.05666,234.29616,64.58735,0,0,0
257,0.12378,-1.95249,0.19896,-257.09665,110.41615,37.38735,0,0,0
258,0.0889,-1.15569,0.04088,-148.53667,68.85615,12.90735,0,0,0
259,0.16346,0.67983,-0.15816,119.46334,9.69615,-50.89264,0,0,0
260,0.34618,1.36335,-0.0324,163.70334,-10.30384,-46.61264,0,0,0
261,0.42618,1.55023,-0.14472,86.94334,5.29615,3.94735,0,0,0
262,0.18042,1.16943,-0.56264,23.14334,17.89615,23.02735,0,0,0
263,0.09978,0.71631,-0.6404,-19.61665,21.53615,30.94735,0,0,0
264,0.26266,0.89071,-0.2644,14.86334,43.01615,20.70735,0,0,0
265,0.18938,0.87055,-0.26184,-7.41665,46.33615,21.42735,0,0,0
266,0.06842,0.50287,-0.30056,-51.77666,40.25615,22.90735,0,0,0
267,0.01018,0.25135,-0.35624,-38.41665,31.53615,19.74735,0,0,0
268,0.19002,0.46223,-0.26952,6.30334,26.01615,16.90735,0,0,0
269,0.23258,0.70255,-0.22952,18.78334,28.53615,16.94735,0,0,0
270,0.27418,0.36399,-0.32648,-10.97665,19.53615,30.26735,0,0,0
271,0.2985,0.37519,-0.32584,1.38334,18.09615,28.74735,0,0,0
272,0.32986,0.46287,-0.32328,19.90334,16.41615,23.34735,0,0,0
273,0.34522,0.50959,-0.32872,14.22334,12.29615,21.58735,0,0,0
274,0.3305,0.46575,-0.3476,3.26334,8.53615,24.02735,0,0,0
275,0.38394,0.37455,-0.35816,-5.61665,3.93615,24.30735,0,0,0
276,0.4633,0.29167,-0.3108,-3.37665,-0.50384,18.98735,0,0,0
