motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
benchpress_ethan_1,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
197,-0.34375,0.765625,0.140625,0,3.90625,-11.71875,,,
198,-0.328125,0.75,0.21875,0,13.671875,-9.765625,,,
199,-0.34375,0.75,0.140625,1.953125,11.71875,-15.625,,,
200,-0.296875,0.6875,0.21875,7.8125,19.53125,-21.484375,,,
201,-0.359375,0.703125,0.078125,9.765625,23.4375,-31.25,,,
202,-0.28125,0.578125,0.21875,21.484375,19.53125,-25.390625,,,
203,-0.328125,0.703125,0,27.34375,23.4375,-19.53125,,,
204,-0.28125,0.703125,0.171875,29.296875,15.625,-15.625,,,
205,-0.3125,0.828125,-0.03125,31.25,33.203125,-15.625,,,
206,-0.34375,0.875,0.078125,0,21.484375,-11.71875,,,
207,-0.3125,0.9375,0.015625,-7.8125,23.4375,-5.859375,,,
208,-0.234375,0.96875,0.015625,-19.53125,7.8125,-3.90625,,,
209,-0.28125,0.96875,0.015625,-33.203125,11.71875,0,,,
210,-0.203125,0.921875,-0.078125,-39.0625,0,0,,,
211,-0.171875,0.984375,-0.03125,-44.921875,5.859375,13.671875,,,
212,-0.265625,1.046875,0.0625,-56.640625,-3.90625,13.671875,,,
213,-0.25,1.171875,0,-50.78125,7.8125,19.53125,,,
214,-0.34375,1.375,0.109375,-44.921875,-9.765625,15.625,,,
215,-0.5,1.46875,-0.03125,-19.53125,-3.90625,9.765625,,,
216,-0.46875,1.265625,0.1875,35.15625,3.90625,-19.53125,,,
217,-0.46875,1.265625,0.1875,35.15625,1.953125,-17.578125,,,
218,-0.375,1.25,0.265625,37.109375,0,-11.71875,,,
219,-0.296875,1.234375,0.15625,33.203125,-3.90625,-11.71875,,,
220,-0.265625,1.078125,0.25,15.625,-13.671875,3.90625,,,
221,-0.21875,1,-0.015625,-5.859375,-5.859375,3.90625,,,
222,-0.203125,0.828125,0.25,-17.578125,-3.90625,17.578125,,,
223,-0.25,0.75,-0.015625,-21.484375,-1.953125,17.578125,,,
224,-0.203125,0.6875,0.21875,-17.578125,-3.90625,27.34375,,,
225,-0.21875,0.65625,0.125,-5.859375,-1.953125,31.25,,,
226,-0.203125,0.71875,0.15625,0,-13.671875,35.15625,,,
227,-0.265625,0.609375,0.015625,31.25,-15.625,19.53125,,,
228,-0.265625,0.765625,0.125,-3.90625,-25.390625,17.578125,,,
229,-0.296875,0.703125,0.171875,-15.625,-17.578125,5.859375,,,
230,-0.28125,0.640625,0.21875,-3.90625,-13.671875,-1.953125,,,
