motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-pullover-30,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
129,0.15625,0.96875,-0.03125,5.859375,1.953125,0,0,0,0
130,0.15625,0.96875,-0.03125,5.859375,0,0,0,0,0
131,0.171875,0.96875,-0.046875,11.71875,0,1.953125,0,0,0
132,0.171875,0.96875,-0.09375,11.71875,0,1.953125,0,0,0
133,0.1875,0.9375,-0.140625,17.578125,-1.953125,3.90625,0,0,0
134,0.1875,0.9375,-0.171875,17.578125,1.953125,1.953125,0,0,0
135,0.21875,0.921875,-0.21875,17.578125,0,3.90625,0,0,0
136,0.1875,0.890625,-0.234375,19.53125,0,3.90625,0,0,0
137,0.25,0.84375,-0.4375,17.578125,0,3.90625,0,0,0
138,0.265625,0.828125,-0.4375,15.625,0,3.90625,0,0,0
139,0.25,0.84375,-0.484375,15.625,0,3.90625,0,0,0
140,0.25,0.828125,-0.53125,13.671875,0,1.953125,0,0,0
141,0.25,0.828125,-0.515625,11.71875,1.953125,3.90625,0,0,0
142,0.28125,0.796875,-0.546875,11.71875,3.90625,1.953125,0,0,0
143,0.25,0.78125,-0.53125,9.765625,1.953125,1.953125,0,0,0
144,0.3125,0.78125,-0.5625,11.71875,-1.953125,3.90625,0,0,0
145,0.3125,0.75,-0.59375,9.765625,-1.953125,3.90625,0,0,0
146,0.28125,0.75,-0.578125,9.765625,-1.953125,1.953125,0,0,0
147,0.28125,0.71875,-0.625,9.765625,-1.953125,1.953125,0,0,0
148,0.28125,0.703125,-0.609375,9.765625,0,1.953125,0,0,0
149,0.3125,0.671875,-0.609375,11.71875,-1.953125,1.953125,0,0,0
150,0.265625,0.640625,-0.671875,11.71875,-1.953125,0,0,0,0
151,0.296875,0.640625,-0.671875,13.671875,0,1.953125,0,0,0
152,0.28125,0.640625,-0.65625,13.671875,0,0,0,0,0
153,0.25,0.578125,-0.71875,13.671875,1.953125,1.953125,0,0,0
154,0.359375,0.53125,-0.75,13.671875,0,3.90625,0,0,0
155,0.328125,0.484375,-0.796875,13.671875,0,1.953125,0,0,0
156,0.265625,0.5,-0.8125,13.671875,0,1.953125,0,0,0
157,0.328125,0.453125,-0.828125,11.71875,0,1.953125,0,0,0
158,0.296875,0.46875,-0.796875,11.71875,0,0,0,0,0
159,0.28125,0.46875,-0.8125,7.8125,0,1.953125,0,0,0
160,0.296875,0.421875,-0.828125,9.765625,0,1.953125,0,0,0
161,0.3125,0.375,-0.875,11.71875,-1.953125,1.953125,0,0,0
162,0.3125,0.375,-0.875,11.71875,-1.953125,1.953125,0,0,0
163,0.28125,0.359375,-0.875,9.765625,0,1.953125,0,0,0
164,0.3125,0.375,-0.84375,9.765625,0,3.90625,0,0,0
165,0.25,0.375,-0.90625,5.859375,0,3.90625,0,0,0
166,0.296875,0.296875,-0.875,7.8125,0,3.90625,0,0,0
167,0.28125,0.265625,-0.921875,7.8125,-1.953125,1.953125,0,0,0
168,0.3125,0.296875,-0.90625,7.8125,-3.90625,1.953125,0,0,0
169,0.328125,0.21875,-0.90625,5.859375,1.953125,1.953125,0,0,0
170,0.328125,0.203125,-0.96875,9.765625,0,3.90625,0,0,0
171,0.3125,0.1875,-0.953125,5.859375,0,1.953125,0,0,0
172,0.3125,0.1875,-0.90625,7.8125,0,1.953125,0,0,0
173,0.296875,0.140625,-0.921875,7.8125,0,1.953125,0,0,0
174,0.328125,0.125,-0.953125,7.8125,-1.953125,1.953125,0,0,0
175,0.328125,0.125,-0.9375,7.8125,0,-1.953125,0,0,0
176,0.3125,0.078125,-0.890625,5.859375,0,0,0,0,0
177,0.3125,0.078125,-0.890625,3.90625,0,0,0,0,0
178,0.359375,0.078125,-0.953125,5.859375,-1.953125,1.953125,0,0,0
179,0.296875,0.09375,-0.875,3.90625,1.953125,0,0,0,0
