motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
afzal-shoulderpress-30,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
194,-0.125,1.046875,0.15625,19.53125,3.90625,-11.71875,0,0,0
195,-0.109375,1.078125,0.109375,17.578125,1.953125,-7.8125,0,0,0
196,-0.109375,1.078125,0.0625,9.765625,3.90625,-1.953125,0,0,0
197,-0.140625,1.078125,0.09375,7.8125,1.953125,0,0,0,0
198,-0.125,0.96875,0,1.953125,0,13.671875,0,0,0
199,-0.046875,0.828125,0.125,0,0,13.671875,0,0,0
200,-0.078125,0.84375,0.0625,0,0,15.625,0,0,0
201,0,0.84375,0.03125,-1.953125,0,17.578125,0,0,0
202,0,0.828125,0.03125,-3.90625,0,17.578125,0,0,0
203,0,0.890625,0,-5.859375,0,17.578125,0,0,0
204,0.015625,0.921875,0,-7.8125,0,19.53125,0,0,0
205,0.03125,0.9375,0,-9.765625,0,19.53125,0,0,0
206,0.125,0.875,0,-9.765625,0,19.53125,0,0,0
207,0.234375,0.90625,0.015625,-9.765625,-7.8125,19.53125,0,0,0
208,0.234375,0.90625,0.015625,-9.765625,-7.8125,19.53125,0,0,0
209,0.1875,0.859375,0.03125,-9.765625,-5.859375,17.578125,0,0,0
210,0.25,0.828125,0.015625,-5.859375,-3.90625,13.671875,0,0,0
211,0.234375,0.859375,0.046875,-1.953125,0,5.859375,0,0,0
212,0.28125,0.953125,0.09375,-1.953125,0,3.90625,0,0,0
213,0.296875,0.921875,0.09375,0,0,1.953125,0,0,0
214,0.3125,0.953125,0.109375,0,0,1.953125,0,0,0
215,0.34375,0.9375,0.15625,0,0,0,0,0,0
216,0.328125,0.953125,0.140625,0,0,0,0,0,0
217,0.34375,0.9375,0.140625,1.953125,0,0,0,0,0
218,0.359375,0.9375,0.15625,0,0,0,0,0,0
219,0.328125,0.9375,0.109375,1.953125,0,0,0,0,0
220,0.34375,0.96875,0.125,1.953125,0,0,0,0,0
221,0.34375,0.9375,0.140625,1.953125,0,0,0,0,0
222,0.328125,0.953125,0.09375,1.953125,0,0,0,0,0
223,0.328125,0.921875,0.09375,0,0,0,0,0,0
224,0.28125,0.921875,0,7.8125,1.953125,-7.8125,0,0,0
225,0.28125,0.921875,0,7.8125,0,-7.8125,0,0,0
226,0.234375,0.96875,-0.015625,9.765625,-1.953125,-7.8125,0,0,0
227,0.28125,0.859375,0.015625,13.671875,-5.859375,-9.765625,0,0,0
228,0.1875,1.03125,-0.015625,13.671875,-1.953125,-7.8125,0,0,0
229,0.234375,0.796875,0.0625,19.53125,-5.859375,-13.671875,0,0,0
230,0.125,1.078125,-0.109375,13.671875,0,-9.765625,0,0,0
231,0.15625,1.109375,-0.015625,13.671875,0,-11.71875,0,0,0
232,0.203125,0.84375,-0.03125,13.671875,0,-9.765625,0,0,0
233,0.125,0.9375,-0.171875,3.90625,0,-13.671875,0,0,0
234,0.109375,0.84375,-0.1875,3.90625,0,-11.71875,0,0,0
235,0.03125,0.9375,-0.21875,1.953125,1.953125,-9.765625,0,0,0
236,0,0.890625,-0.15625,0,0,-5.859375,0,0,0
237,-0.109375,1.078125,-0.328125,-3.90625,0,-5.859375,0,0,0
238,-0.046875,0.90625,-0.03125,-7.8125,-1.953125,0,0,0,0
239,-0.046875,0.90625,-0.03125,-7.8125,-1.953125,0,0,0,0
240,-0.046875,0.921875,-0.015625,-13.671875,0,0,0,0,0
241,-0.078125,0.96875,-0.046875,-15.625,0,1.953125,0,0,0
242,-0.046875,1.03125,0,-21.484375,0,7.8125,0,0,0
243,-0.015625,0.984375,0.09375,-27.34375,1.953125,5.859375,0,0,0
244,-0.015625,1.0625,0.09375,-29.296875,-1.953125,7.8125,0,0,0
245,0.015625,1.140625,0.125,-29.296875,0,7.8125,0,0,0
246,0.078125,1.0625,0.296875,-19.53125,-1.953125,0,0,0,0
247,0.03125,1.09375,0.296875,-15.625,0,-1.953125,0,0,0
248,0.046875,1.046875,0.375,-11.71875,0,0,0,0,0
249,0.015625,0.984375,0.359375,0,0,0,0,0,0
250,0.015625,0.921875,0.34375,0,0,1.953125,0,0,0
251,0,0.9375,0.328125,0,0,1.953125,0,0,0
252,0,1.21875,0.3125,9.765625,0,-5.859375,0,0,0
253,0.015625,1.28125,0.359375,17.578125,0,-13.671875,0,0,0
254,0.015625,1.25,0.25,35.15625,3.90625,-21.484375,0,0,0
255,-0.03125,1.125,0.1875,35.15625,1.953125,-17.578125,0,0,0
256,-0.078125,0.9375,0.140625,27.34375,1.953125,-9.765625,0,0,0
257,-0.140625,0.890625,0.140625,23.4375,1.953125,-7.8125,0,0,0
258,-0.109375,1,0.0625,19.53125,1.953125,-1.953125,0,0,0
259,-0.125,0.96875,0.0625,13.671875,0,0,0,0,0
260,-0.09375,1,0,0,3.90625,0,0,0,0
261,-0.0625,1,-0.015625,0,1.953125,3.90625,0,0,0
262,-0.09375,0.953125,-0.03125,0,1.953125,7.8125,0,0,0
263,-0.03125,0.984375,0,0,1.953125,9.765625,0,0,0
264,-0.0625,0.96875,0,-1.953125,0,11.71875,0,0,0
265,0,0.953125,0,-3.90625,0,9.765625,0,0,0
266,0,0.90625,0.046875,-3.90625,0,7.8125,0,0,0
267,0.015625,0.875,-0.015625,-5.859375,3.90625,9.765625,0,0,0
268,0,0.875,0.03125,-5.859375,0,9.765625,0,0,0
269,0.078125,0.953125,0.03125,-3.90625,0,13.671875,0,0,0
270,0.015625,0.90625,0.046875,-3.90625,0,11.71875,0,0,0
271,0.15625,0.953125,0.078125,-7.8125,0,15.625,0,0,0
272,0.15625,0.96875,0.046875,-5.859375,1.953125,11.71875,0,0,0
273,0.140625,0.859375,0.03125,-5.859375,0,11.71875,0,0,0
274,0.21875,0.984375,0.015625,-7.8125,-3.90625,13.671875,0,0,0
275,0.234375,0.875,0.0625,-5.859375,-1.953125,11.71875,0,0,0
276,0.1875,0.953125,0.015625,-5.859375,-1.953125,7.8125,0,0,0
277,0.234375,0.9375,0.09375,0,-1.953125,1.953125,0,0,0
278,0.21875,0.953125,0.09375,0,1.953125,0,0,0,0
279,0.28125,0.953125,0.078125,0,0,0,0,0,0
280,0.21875,0.9375,0.078125,1.953125,1.953125,-1.953125,0,0,0
281,0.265625,0.953125,0.0625,0,0,0,0,0,0
282,0.265625,0.9375,0.078125,1.953125,0,-1.953125,0,0,0
283,0.25,0.96875,0.03125,3.90625,1.953125,-3.90625,0,0,0
284,0.15625,1.046875,0,11.71875,-1.953125,-9.765625,0,0,0
285,0.15625,1.046875,0,11.71875,0,-9.765625,0,0,0
286,0.171875,0.921875,-0.046875,11.71875,0,-9.765625,0,0,0
287,0.125,0.84375,-0.03125,15.625,-1.953125,-9.765625,0,0,0
288,0.046875,0.90625,-0.125,13.671875,1.953125,-13.671875,0,0,0
289,0.015625,0.90625,-0.078125,13.671875,0,-13.671875,0,0,0
290,0.15625,1.046875,-0.015625,9.765625,1.953125,-15.625,0,0,0
291,0,0.8125,-0.109375,9.765625,-3.90625,-9.765625,0,0,0
292,-0.03125,0.859375,-0.25,5.859375,0,-11.71875,0,0,0
293,0.015625,0.96875,-0.15625,1.953125,0,-7.8125,0,0,0
294,-0.046875,0.953125,-0.125,0,0,-9.765625,0,0,0
295,-0.0625,0.953125,-0.265625,-1.953125,0,-9.765625,0,0,0
