motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
Cross Right - 10 Reps,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
187,0.39546,0.51983,-0.00104,193.44,-68.75875,22.0475,0,0,0
188,0.48346,0.58831,0.04632,178.56,-69.35875,20.8075,0,0,0
189,0.56666,0.46895,0.1164,146.8,-66.15875,19.4075,0,0,0
190,0.54586,0.45263,-0.00584,118.64,-70.11875,20.4475,0,0,0
191,0.57146,0.52687,-0.04936,109.64,-72.87875,18.2475,0,0,0
192,0.75162,0.53903,-0.16744,93.04,-79.79875,7.3675,0,0,0
193,0.77626,0.59343,-0.00392,66.24,-85.11875,-0.6725,0,0,0
194,0.8553,0.52431,0.10872,35.84,-88.67875,-8.9525,0,0,0
195,0.86554,0.48175,0.04504,22.24,-89.35875,-11.3125,0,0,0
196,0.93946,0.44399,0.00664,7.48,-89.51875,-17.0725,0,0,0
197,1.03162,0.39023,0.05528,2.16,-86.63875,-23.9925,0,0,0
198,0.9929,0.40687,0.06488,-1.48,-84.31875,-25.6325,0,0,0
199,0.95386,0.37423,0.00568,-12.88,-79.23875,-26.5525,0,0,0
200,0.87834,0.31727,-0.04776,-18.6,-72.99875,-27.0725,0,0,0
201,0.81242,0.31919,-0.00584,-13,-63.67875,-29.4725,0,0,0
202,0.77338,0.36623,0.04376,-10.92,-58.03875,-29.3525,0,0,0
203,0.69754,0.41775,0.0252,-17.84,-48.43875,-25.6325,0,0,0
204,0.71802,0.35695,0.02872,-30.96,-43.51875,-18.5125,0,0,0
205,0.7017,0.33103,0.01464,-34.28,-40.75875,-15.1525,0,0,0
206,0.67834,0.34671,-0.0052,-35.88,-35.07875,-10.5125,0,0,0
207,0.63866,0.31215,-0.03432,-29.48,-27.23875,-9.0325,0,0,0
208,0.61306,0.32207,-0.03144,-22.8,-22.19875,-9.1525,0,0,0
209,0.5657,0.39599,-0.02472,-10.6,-12.83875,-9.5925,0,0,0
210,0.5305,0.45967,-0.01608,-11.2,-6.39875,-7.0725,0,0,0
211,0.51098,0.46767,0.0652,-20.52,-1.87875,-3.0325,0,0,0
212,0.50042,0.49455,0.06648,-26.24,0.16125,-1.0725,0,0,0
213,0.47066,0.48079,0.03384,-38.24,2.84125,2.2875,0,0,0
214,0.43642,0.42159,-0.0164,-40.52,1.92125,5.3275,0,0,0
215,0.43162,0.42287,-0.00904,-36.32,1.00125,5.8875,0,0,0
216,0.40314,0.49519,-0.00616,-25.84,-0.15875,4.7275,0,0,0
217,0.39578,0.49423,0.02584,-21.16,-1.27875,2.5675,0,0,0
218,0.4009,0.49295,0.03832,-18.12,-1.23875,1.1675,0,0,0
219,0.40218,0.51215,0.038,-16.68,-1.11875,1.1275,0,0,0
220,0.43866,0.48079,0.078,-10,0.60125,0.2475,0,0,0
221,0.45114,0.46735,0.08568,-8.84,1.24125,0.2075,0,0,0
222,0.47354,0.45775,0.08888,-5.04,4.44125,0.4075,0,0,0
223,0.4889,0.43055,0.11416,-1.68,14.36125,0.6075,0,0,0
224,0.51002,0.43055,0.11608,-3.44,17.12125,1.6875,0,0,0
225,0.54042,0.40943,0.10104,-5.68,23.04125,3.3275,0,0,0
226,0.58778,0.41487,0.10808,-7.52,29.24125,5.8075,0,0,0
227,0.62906,0.40559,0.10616,-8.16,32.60125,7.1675,0,0,0
228,0.72474,0.38607,0.10232,-6.6,40.88125,9.0875,0,0,0
229,0.88474,0.45039,0.1532,-8.32,53.32125,10.4475,0,0,0
230,1.11802,0.49551,0.14936,-24.32,69.68125,12.8075,0,0,0
231,1.25018,0.57551,0.13624,-37.8,79.52125,14.2075,0,0,0
