motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
jjbhbhb,1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
198,-0.046875,0.15625,1,0,0,0,0,0,0
199,-0.03125,0.140625,1,0,0,-1.953125,0,0,0
200,-0.03125,0.15625,1,0,0,0,0,0,0
201,-0.046875,0.15625,0.984375,0,0,0,0,0,0
202,-0.03125,0.15625,0.984375,0,0,0,0,0,0
203,-0.03125,0.15625,1.015625,0,0,0,0,0,0
204,-0.03125,0.15625,1.015625,0,0,0,0,0,0
205,-0.03125,0.140625,0.984375,0,0,0,0,0,0
206,-0.03125,0.15625,0.984375,0,0,0,0,0,0
207,-0.03125,0.140625,1,0,0,0,0,0,0
208,-0.046875,0.15625,1,0,0,0,0,0,0
209,-0.046875,0.140625,0.984375,0,0,0,0,0,0
210,-0.03125,0.140625,1,0,0,0,0,0,0
211,-0.03125,0.125,1,-1.953125,0,0,0,0,0
212,-0.046875,0.140625,0.984375,-1.953125,0,0,0,0,0
213,-0.03125,0.15625,0.984375,0,0,0,0,0,0
214,-0.015625,0.109375,1,-11.71875,-1.953125,-1.953125,0,0,0
215,-0.03125,0.125,1,-19.53125,-9.765625,-5.859375,0,0,0
216,0.015625,0.03125,0.9375,-31.25,-17.578125,-17.578125,0,0,0
217,0.015625,0,0.890625,-41.015625,-19.53125,-25.390625,0,0,0
218,0,-0.0625,0.984375,-46.875,-13.671875,-23.4375,0,0,0
219,0.0625,-0.125,0.984375,-85.9375,-3.90625,-11.71875,0,0,0
220,0.046875,-0.25,0.921875,-117.1875,-3.90625,-19.53125,0,0,0
221,0.0625,-0.4375,0.828125,-142.57813,-9.765625,-15.625,0,0,0
222,0.0625,-0.59375,0.796875,-115.234375,-9.765625,-3.90625,0,0,0
223,0.09375,-0.71875,0.6875,-68.359375,1.953125,-1.953125,0,0,0
224,0.125,-0.953125,0.40625,-37.109375,-5.859375,0,0,0,0
225,0.09375,-0.9375,0.28125,-25.390625,-5.859375,0,0,0,0
226,0.0625,-0.953125,0.46875,-44.921875,-7.8125,1.953125,0,0,0
227,0.0625,-1.015625,0.21875,-119.140625,-17.578125,11.71875,0,0,0
228,0.109375,-1.0625,0.0625,-117.1875,-3.90625,15.625,0,0,0
229,0,-0.921875,-0.234375,-27.34375,-21.484375,-17.578125,0,0,0
230,0.0625,-0.90625,-0.265625,7.8125,-15.625,-13.671875,0,0,0
231,0.15625,-0.921875,-0.171875,17.578125,0,7.8125,0,0,0
232,0.03125,-0.90625,-0.078125,27.34375,11.71875,13.671875,0,0,0
233,-0.03125,-0.90625,0.125,-1.953125,3.90625,0,0,0,0
234,0.03125,-0.953125,0.03125,-11.71875,0,-3.90625,0,0,0
235,0,-0.921875,0.046875,-3.90625,0,-1.953125,0,0,0
236,0,-0.9375,0,0,-1.953125,0,0,0,0
237,0.046875,-0.984375,-0.015625,1.953125,0,1.953125,0,0,0
238,0.03125,-0.984375,0,-5.859375,0,0,0,0,0
239,0.03125,-0.953125,0,0,0,0,0,0,0
240,0.03125,-0.984375,0,0,0,0,0,0,0
241,0.015625,-0.96875,0.03125,-5.859375,0,-1.953125,0,0,0
242,0.015625,-0.96875,0.03125,-7.8125,0,-1.953125,0,0,0
243,0.046875,-0.953125,-0.015625,7.8125,0,1.953125,0,0,0
244,0.03125,-0.9375,0,0,0,1.953125,0,0,0
245,0.03125,-0.953125,0,0,0,0,0,0,0
246,0.03125,-0.9375,-0.015625,0,0,0,0,0,0
247,0.046875,-0.984375,0.015625,7.8125,0,1.953125,0,0,0
248,0.015625,-0.953125,0.015625,0,0,0,0,0,0
249,0.015625,-0.9375,0.015625,-7.8125,0,-1.953125,0,0,0
250,0.03125,-0.953125,0,0,0,0,0,0,0
251,0.03125,-0.96875,0,3.90625,0,0,0,0,0
252,0.015625,-0.953125,0.03125,-1.953125,0,0,0,0,0
253,0.046875,-0.953125,-0.015625,0,0,0,0,0,0
