motion_name,threshold,trigger,ax_lambda,ay_lambda,az_lambda,gx_lambda,gy_lambda,gz_lambda
"Free hand - 10 steps - low,normal,quiet,high",1500,10,16,16,16,500,500,500
index,ax,ay,az,gx,gy,gz,mx,my,mz
173,0.99000293,-0.39130005,0.060693987,5.563115,-24.632748,-99.92743,0,0,0
174,1.0178255,-0.4064316,0.07167656,14.085231,-26.276299,-102.8493,0,0,0
175,1.0500411,-0.4142414,0.08217102,21.511644,-28.406828,-104.55373,0,0,0
176,1.2111188,-0.42205128,0.0577653,26.929276,-29.441656,-103.39715,0,0,0
177,1.2889731,-0.42766458,0.04556244,23.155197,-28.832933,-101.266624,0,0,0
178,1.3636546,-0.43254572,0.016519625,17.920183,-26.458916,-97.796906,0,0,0
179,1.4232045,-0.4435283,-0.021797363,12.441679,-21.71088,-93.779335,0,0,0
180,1.4778734,-0.48867887,-0.057917837,1.8499079,-9.414685,-83.61367,0,0,0
181,1.4739685,-0.5206503,-0.04888772,-1.4980661,-3.9361825,-76.187256,0,0,0
182,1.4434613,-0.5565268,-0.03717297,-3.0198724,1.9075538,-67.72601,0,0,0
183,1.3800064,-0.61046344,-0.013499417,-1.254577,7.629545,-57.803837,0,0,0
184,1.1586465,-0.6478042,-0.0122791305,8.911089,16.821255,-31.628765,0,0,0
185,1.0327129,-0.6541497,-0.022285476,16.946228,19.012657,-18.23687,0,0,0
186,0.92093474,-0.62461877,-0.043762516,25.285727,19.256145,-0.9491506,0,0,0
187,0.8389315,-0.58264095,-0.044738743,36.120987,14.9342165,16.33857,0,0,0
188,0.81476986,-0.54944915,-0.03448834,48.538925,7.5686736,31.921867,0,0,0
189,0.8284371,-0.50893563,-0.024237936,61.93082,-0.5882086,47.505165,0,0,0
190,0.9436321,-0.489167,-0.01691622,88.04502,-12.336553,71.245346,0,0,0
191,0.9912233,-0.46793398,-0.037417028,101.132545,-11.301725,77.39343,0,0,0
192,1.0227066,-0.44718915,-0.0449828,115.92451,-8.014624,80.74141,0,0,0
193,1.0417432,-0.4281527,-0.05987029,128.46419,-5.76235,82.506714,0,0,0
194,1.0761552,-0.40667564,-0.07036476,137.59503,-5.0927553,83.78502,0,0,0
195,1.1115434,-0.38519862,-0.07329344,142.76917,-3.8753102,83.48067,0,0,0
196,1.1449792,-0.3732398,-0.08110327,147.03023,-0.5882086,82.20235,0,0,0
197,1.1525451,-0.36396563,-0.08134733,149.22163,5.9251223,80.74141,0,0,0
198,1.139366,-0.3368753,-0.097211055,148.55203,13.595027,79.70659,0,0,0
199,1.1103232,-0.29709393,-0.11673564,144.04749,20.71708,79.523964,0,0,0
200,1.0815245,-0.26951548,-0.1323553,135.76886,26.13471,80.071815,0,0,0
201,1.071274,-0.24462163,-0.13357559,123.77704,30.213152,81.16752,0,0,0
202,1.0580949,-0.23607963,-0.12332518,109.41118,33.68287,82.7502,0,0,0
203,1.0561424,-0.23412715,-0.120396495,94.071365,36.42212,84.75898,0,0,0
204,1.0561424,-0.23583558,-0.12796226,79.5229,38.79614,87.132996,0,0,0
205,1.0546781,-0.24340135,-0.12527764,66.8006,40.622307,89.141785,0,0,0
206,1.0537019,-0.25584826,-0.13211124,56.75668,41.839752,89.993996,0,0,0
207,1.062976,-0.26463434,-0.14821902,50.425964,42.57022,90.84621,0,0,0
208,1.0688335,-0.26609868,-0.15773726,46.104034,43.42243,91.454926,0,0,0
